Price,Close,High,Low,Open,Volume,Log_Returns,Normalized_Log_Returns
Ticker,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,,
Datetime,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,0.0,
2025-07-10 08:00:00+00:00,8965.8701171875,8967.2001953125,8941.73046875,8943.0595703125,0,0.0025429179266580207,0.7302929979862415
2025-07-10 09:00:00+00:00,8967.5302734375,8972.8798828125,8963.169921875,8965.9296875,0,0.0001851468453924316,-0.29672133995626493
2025-07-10 10:00:00+00:00,8970.91015625,8972.0498046875,8955.5498046875,8967.419921875,0,0.0003768312931933909,-0.20977620220659016
2025-07-10 11:00:00+00:00,8959.0703125,8972.5400390625,8959.0703125,8971.01953125,0,-0.001320675780047963,-0.940847834859061
2025-07-10 12:00:00+00:00,8950.580078125,8960.33984375,8946.5595703125,8959.0498046875,0,-0.0009481184529937465,-0.7284178915740853
2025-07-10 13:00:00+00:00,8955.7001953125,8956.240234375,8937.4501953125,8950.490234375,0,0.0005718795024825524,-0.07833374129891033
2025-07-10 14:00:00+00:00,8974.3896484375,8975.5400390625,8955.9501953125,8955.9501953125,0,0.002084703429435816,0.5145225320722755
2025-07-10 15:00:00+00:00,8977.0302734375,8979.41015625,8971.2197265625,8974.5,0,0.000294196785606798,-0.21142651400336995
2025-07-11 07:00:00+00:00,8965.1201171875,8984.1396484375,8964.419921875,8975.66015625,0,-0.0013276176757046803,-0.8778604047439538
2025-07-11 08:00:00+00:00,8949.2001953125,8970.5703125,8946.0498046875,8966.25,0,-0.0017773407852634973,-1.0195910342943715
2025-07-11 09:00:00+00:00,8926.1904296875,8949.2099609375,8925.7802734375,8949.2099609375,0,-0.0025744643925848395,-1.2260224378603153
2025-07-11 10:00:00+00:00,8925.7802734375,8928.080078125,8918.490234375,8926.080078125,0,-4.595080922917702e-05,-0.18268403603117228
